sample,in_db,out_db,gain_db
1136,-10.000000,0.003127,10.004123
1137,-10.000000,0.003119,10.004116
1138,-10.000000,0.003111,10.004108
1139,-10.000000,0.003104,10.004100
1140,-10.000000,0.003095,10.004092
1141,-10.000000,0.003088,10.004084
1142,-10.000000,0.003079,10.004076
1143,-10.000000,0.003071,10.004067
1144,-10.000000,0.003063,10.004058
1145,-10.000000,0.003054,10.004050
1146,-10.000000,0.003046,10.004041
1147,-10.000000,0.003036,10.004032
1148,-10.000000,0.003028,10.004023
1149,-10.000000,0.003018,10.004013
1150,-10.000000,0.003009,10.004004
1151,-10.000000,0.003000,10.003995
1152,-10.000000,0.002991,10.003985
1153,-10.000000,0.002980,10.003975
1154,-10.000000,0.002971,10.003966
1155,-10.000000,0.002961,10.003956
1156,-10.000000,0.002952,10.003946
1157,-10.000000,0.002941,10.003936
1158,-10.000000,0.002931,10.003925
1159,-10.000000,0.002921,10.003915
1160,-10.000000,0.002911,10.003905
1161,-10.000000,0.002901,10.003894
1162,-10.000000,0.002890,10.003884
1163,-10.000000,0.002880,10.003873
1164,-10.000000,0.002869,10.003863
1165,-10.000000,0.002858,10.003852
1166,-10.000000,0.002848,10.003841
1167,-10.000000,0.002837,10.003830
1168,-10.000000,0.002826,10.003819
1169,-10.000000,0.002815,10.003808
1170,-10.000000,0.002804,10.003797
1171,-10.000000,0.002794,10.003786
1172,-10.000000,0.002782,10.003775
1173,-10.000000,0.002771,10.003764
1174,-10.000000,0.002760,10.003752
1175,-10.000000,0.002748,10.003741
1176,-10.000000,0.002737,10.003730
1177,-10.000000,0.002726,10.003718
1178,-10.000000,0.002714,10.003707
1179,-10.000000,0.002703,10.003695
1180,-10.000000,0.002691,10.003684
1181,-10.000000,0.002680,10.003672
1182,-10.000000,0.002668,10.003660
1183,-10.000000,0.002657,10.003649
1184,-10.000000,0.002645,10.003637
1185,-10.000000,0.002633,10.003625
1186,-10.000000,0.002622,10.003614
1187,-10.000000,0.002610,10.003602
1188,-10.000000,0.002598,10.003590
1189,-10.000000,0.002587,10.003578
1190,-10.000000,0.002574,10.003566
1191,-10.000000,0.002563,10.003555
1192,-10.000000,0.002551,10.003543
1193,-10.000000,0.002539,10.003531
1194,-10.000000,0.002527,10.003519
1195,-10.000000,0.002515,10.003507
1196,-10.000000,0.002504,10.003495
1197,-10.000000,0.002491,10.003483
1198,-10.000000,0.002480,10.003471
1199,-10.000000,0.002467,10.003459
1200,-10.000000,0.002456,10.003447
1201,-10.000000,0.002444,10.003435
1202,-10.000000,0.002432,10.003423
1203,-10.000000,0.002419,10.003411
1204,-10.000000,0.002408,10.003399
1205,-10.000000,0.002396,10.003387
1206,-10.000000,0.002384,10.003375
1207,-10.000000,0.002372,10.003363
1208,-10.000000,0.002360,10.003351
1209,-10.000000,0.002348,10.003339
1210,-10.000000,0.002336,10.003328
1211,-10.000000,0.002324,10.003316
1212,-10.000000,0.002312,10.003304
1213,-10.000000,0.002300,10.003292
1214,-10.000000,0.002289,10.003280
1215,-10.000000,0.002276,10.003268
1216,-10.000000,0.002264,10.003256
1217,-10.000000,0.002252,10.003244
1218,-10.000000,0.002241,10.003232
1219,-10.000000,0.002229,10.003220
1220,-10.000000,0.002217,10.003208
1221,-10.000000,0.002205,10.003197
